model,params,fit_time_ms,train_mse,test_mse
SupportVectorRegression,"{'C': 1.2, 'epsilon': 0.8}",15052.175283432007,1.0486334562301636,1.0873996019363403
SupportVectorRegression,"{'C': 1.1, 'epsilon': 0.8}",14231.781721115112,1.0556046962738037,1.0892791748046875
SupportVectorRegression,"{'C': 1.2, 'epsilon': 0.9}",13225.937366485596,1.0555182695388794,1.0912654399871826
SupportVectorRegression,"{'C': 1.0, 'epsilon': 0.8}",13459.874629974365,1.0630396604537964,1.0914671421051025
SupportVectorRegression,"{'C': 1.1, 'epsilon': 0.9}",12538.203239440918,1.06222403049469,1.0931129455566406
SupportVectorRegression,"{'C': 0.9, 'epsilon': 0.8}",12707.948923110962,1.070977807044983,1.0939466953277588
SupportVectorRegression,"{'C': 1.2, 'epsilon': 1.0}",11520.686149597168,1.0636004209518433,1.0946073532104492
SupportVectorRegression,"{'C': 1.0, 'epsilon': 0.9}",11821.182250976562,1.0693721771240234,1.0951875448226929
SupportVectorRegression,"{'C': 1.1, 'epsilon': 1.0}",10920.539140701294,1.0700912475585938,1.0963103771209717
SupportVectorRegression,"{'C': 0.8, 'epsilon': 0.8}",11564.68415260315,1.079519271850586,1.0967395305633545
SupportVectorRegression,"{'C': 0.9, 'epsilon': 0.9}",10907.631635665894,1.0770717859268188,1.0976042747497559
SupportVectorRegression,"{'C': 1.0, 'epsilon': 1.0}",10254.644393920898,1.0770137310028076,1.0983517169952393
SupportVectorRegression,"{'C': 1.2, 'epsilon': 1.1}",9935.545682907104,1.072486162185669,1.099440097808838
SupportVectorRegression,"{'C': 0.8, 'epsilon': 0.9}",10208.088874816895,1.0854511260986328,1.1003526449203491
SupportVectorRegression,"{'C': 0.9, 'epsilon': 1.0}",9627.952337265015,1.0844433307647705,1.1007928848266602
SupportVectorRegression,"{'C': 1.1, 'epsilon': 1.1}",9348.81591796875,1.0787086486816406,1.101148009300232
SupportVectorRegression,"{'C': 1.0, 'epsilon': 1.1}",8871.002197265625,1.085371494293213,1.103156566619873
SupportVectorRegression,"{'C': 0.8, 'epsilon': 1.0}",8947.38793373108,1.0924367904663086,1.1036006212234497
SupportVectorRegression,"{'C': 1.2, 'epsilon': 1.2}",8599.750518798828,1.0826256275177002,1.1050987243652344
SupportVectorRegression,"{'C': 0.9, 'epsilon': 1.1}",8355.807065963745,1.0925214290618896,1.1055219173431396
SupportVectorRegression,"{'C': 1.1, 'epsilon': 1.2}",8125.117063522339,1.0886138677597046,1.1069209575653076
SupportVectorRegression,"{'C': 0.8, 'epsilon': 1.1}",7920.904636383057,1.1002718210220337,1.108328104019165
SupportVectorRegression,"{'C': 1.0, 'epsilon': 1.2}",7566.693305969238,1.0949583053588867,1.1089304685592651
SupportVectorRegression,"{'C': 0.9, 'epsilon': 1.2}",7308.598518371582,1.1018006801605225,1.1113238334655762
SupportVectorRegression,"{'C': 0.8, 'epsilon': 1.2}",6852.717399597168,1.1092263460159302,1.114179015159607
KNNRegressor,{'n_neighbors': 19},95.72291374206543,1.0824605226516724,1.1731363534927368
KNNRegressor,{'n_neighbors': 17},96.07911109924316,1.0706487894058228,1.175417423248291
KNNRegressor,{'n_neighbors': 18},94.62738037109375,1.0769896507263184,1.1759511232376099
KNNRegressor,{'n_neighbors': 16},93.64700317382812,1.0641218423843384,1.1767505407333374
KNNRegressor,{'n_neighbors': 15},97.16224670410156,1.0569090843200684,1.179317831993103
KNNRegressor,{'n_neighbors': 14},94.60306167602539,1.0488590002059937,1.1837717294692993
KNNRegressor,{'n_neighbors': 13},96.99368476867676,1.040114164352417,1.188047170639038
RidgeRegression,{'alpha': 0.5},1431.3116073608398,1.2290399074554443,1.1890695095062256
